Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll
15:11:18:13.629,61,0.0566684380,0.1993260384,0.1277252883,0.0000000000,0.0000000000,0.0399490707,0.0000000000,0.0565304458,0.1997703016,0.0000000000,0.0037575383,0.0000000000,0.0399404541,0.0000000000,0.0135858199,0.0069370307,0.0000000000,0.0142443087,0.0146470107,0.0127535602,0.0614300705,0.0081367027,0.0000000000,0.0137923891,0.0235903896,0.0000000000,0.0000000000,0.0320679359,0.0314813107,0.0376558267,0.0364605077,0.0355462357,0.0122653469,0.2676827908,0.1827270985,0.0818004906,0.0887191892,0.0282434132,0.0260829162,0.0217109211,0.0224704612,0.4849700332,0.4848376215,0.0147170452,0.0000000000,0.0000000000,0.0212186575,0.0305883344,0.0318755023,0.1138712764,0.1234784946,0.0000000644,0.0000000000,0.0000000000,0.0000000000,0.0022782797,0.1220330596,0.0002794136,0.0774441212,0.1221292466,0.0094957137
15:11:18:14.631,61,0.0565357022,0.1988554597,0.1284958720,0.0000000000,0.0000000000,0.0400926545,0.0000000000,0.0563959777,0.1993054152,0.0000000000,0.0044971965,0.0000000000,0.0400839932,0.0000000000,0.0135434084,0.0069598774,0.0000000000,0.0142383026,0.0146369534,0.0127096660,0.0614644475,0.0080944495,0.0000000000,0.0142895933,0.0242562164,0.0000000000,0.0000000000,0.0321391597,0.0315620489,0.0375807732,0.0363876447,0.0355380215,0.0122582968,0.2678071856,0.1827949435,0.0817536637,0.0886784792,0.0283074118,0.0261526108,0.0217067134,0.0224789139,0.4864048660,0.4862704873,0.0146915158,0.0000000000,0.0000000000,0.0211631060,0.0305377599,0.0318301320,0.1135662720,0.1231900528,0.0000000429,0.0000000000,0.0000000000,0.0000000000,0.0027268461,0.1217492223,0.0003336411,0.0779140815,0.1218453869,0.0095307948
15:11:18:15.636,61,0.0564105660,0.1985336691,0.1289124191,0.0000000000,0.0000000000,0.0403091908,0.0000000000,0.0562694147,0.1989864409,0.0000000000,0.0048996247,0.0000000000,0.0403004661,0.0000000000,0.0134481639,0.0069300141,0.0000000000,0.0142152943,0.0146001754,0.0125906439,0.0612639785,0.0081410687,0.0000000000,0.0196977165,0.0296593476,0.0000000000,0.0000000000,0.0322834998,0.0317010023,0.0374498032,0.0362498015,0.0354110897,0.0122530563,0.2580522597,0.1780012101,0.0813990459,0.0883111358,0.0283587053,0.0261963326,0.0216032136,0.0223824400,0.4873250425,0.4871904552,0.0146636516,0.0000000000,0.0000000000,0.0210382640,0.0304960962,0.0317957215,0.1125697270,0.1222206280,0.0000000292,0.0000000000,0.0000000000,0.0000000000,0.0029709262,0.1215544567,0.0003629180,0.0781685188,0.1216506362,0.0095464196
15:11:18:16.635,61,0.0564430356,0.1987889111,0.1297776848,0.0000000000,0.0000000000,0.0404801182,0.0000000000,0.0562993921,0.1992503256,0.0000000000,0.0057222666,0.0000000000,0.0404713303,0.0000000000,0.0133637385,0.0068590306,0.0000000000,0.0142093012,0.0145933079,0.0125233578,0.0612080023,0.0082031684,0.0000000000,0.0220091697,0.0316862166,0.0000000000,0.0000000000,0.0324386805,0.0318528451,0.0373315364,0.0361339226,0.0353703238,0.0122625716,0.2557495832,0.1767184585,0.0812761635,0.0881787315,0.0284939595,0.0263184868,0.0215865280,0.0223723147,0.4898816049,0.4897452593,0.0146545786,0.0000000000,0.0000000000,0.0209470000,0.0304709673,0.0317693390,0.1122093722,0.1218651831,0.0000000233,0.0000000000,0.0000000000,0.0000000000,0.0034696732,0.1217158362,0.0004244113,0.0786916912,0.1218120679,0.0096230544
15:11:18:17.636,61,0.0563333705,0.1992531717,0.1308188438,0.0000000000,0.0000000000,0.0405922867,0.0000000000,0.0561885461,0.1997254491,0.0000000000,0.0066806199,0.0000000000,0.0405833758,0.0000000000,0.0132847056,0.0068374895,0.0000000000,0.0141880848,0.0145816309,0.0124769509,0.0612495840,0.0081273252,0.0000000000,0.0229439475,0.0327444263,0.0000000000,0.0000000000,0.0324768871,0.0319043174,0.0372399241,0.0360552929,0.0353245512,0.0122447712,0.2549408674,0.1762353033,0.0811490864,0.0880539045,0.0285948534,0.0264264625,0.0215917770,0.0223898739,0.4923382998,0.4922008216,0.0146650076,0.0000000000,0.0000000000,0.0208867174,0.0304256249,0.0317285657,0.1120300367,0.1217048317,0.0000000216,0.0000000000,0.0000000000,0.0000000000,0.0040506236,0.1220063493,0.0004966672,0.0793202147,0.1221026555,0.0097231213
15:11:18:18.638,61,0.0562936775,0.1996528804,0.1318930984,0.0000000000,0.0000000000,0.0406259671,0.0000000000,0.0561496094,0.2001362294,0.0000000000,0.0077023124,0.0000000000,0.0406168401,0.0000000000,0.0132035436,0.0067943097,0.0000000000,0.0141337710,0.0145356478,0.0123781422,0.0610811822,0.0079010250,0.0000000000,0.0231296811,0.0332761332,0.0000000000,0.0000000000,0.0324590914,0.0319122151,0.0370469429,0.0358835757,0.0352474004,0.0122313220,0.2545390427,0.1759711653,0.0809718072,0.0878763199,0.0286134370,0.0264633670,0.0215609148,0.0223847311,0.4923407733,0.4922040105,0.0146282110,0.0000000000,0.0000000000,0.0207866225,0.0302990098,0.0316092037,0.1118281856,0.1215407699,0.0000000218,0.0000000000,0.0000000000,0.0000000000,0.0046699559,0.1222576052,0.0005737972,0.0799691528,0.1223539785,0.0098228715
15:11:18:19.642,61,0.0561918579,0.1993626058,0.1323184967,0.0000000000,0.0000000000,0.0407138877,0.0000000000,0.0560471714,0.1998489350,0.0000000000,0.0080862343,0.0000000000,0.0407046378,0.0000000000,0.0131356604,0.0068197032,0.0000000000,0.0140966093,0.0145023931,0.0122946417,0.0609689020,0.0078088711,0.0000000000,0.0233529005,0.0337963812,0.0000000000,0.0000000000,0.0324949138,0.0319607295,0.0369057655,0.0357412584,0.0351733603,0.0122227911,0.2543863654,0.1757698357,0.0808142126,0.0877278745,0.0286425967,0.0265040919,0.0215190910,0.0223580170,0.4923493564,0.4922116697,0.0145939831,0.0000000000,0.0000000000,0.0207140166,0.0302121565,0.0315298922,0.1114900857,0.1212206483,0.0000000239,0.0000000000,0.0000000000,0.0000000000,0.0049028364,0.1220822558,0.0006015383,0.0802288279,0.1221786588,0.0098404372
15:11:18:20.640,61,0.0562836826,0.2000390291,0.1328006387,0.0000000000,0.0000000000,0.0407495573,0.0000000000,0.0561360270,0.2005318552,0.0000000000,0.0085132001,0.0000000000,0.0407403037,0.0000000000,0.0130864326,0.0067989058,0.0000000000,0.0140928468,0.0145023074,0.0122361882,0.0608591586,0.0079547763,0.0000000000,0.0238350127,0.0342395641,0.0000000000,0.0000000000,0.0325940400,0.0320499837,0.0368187763,0.0356436782,0.0351476967,0.0122324144,0.2543184161,0.1755256355,0.0806595534,0.0875607356,0.0287462622,0.0265966933,0.0215053521,0.0223412979,0.4921137094,0.4919742644,0.0145787736,0.0000000000,0.0000000000,0.0206403416,0.0301563367,0.0314679258,0.1112514362,0.1209536567,0.0000000246,0.0000000000,0.0000000000,0.0000000000,0.0051614488,0.1224996001,0.0006354543,0.0805170685,0.1225960702,0.0099097881
15:11:18:21.642,61,0.0564789586,0.2006778419,0.1328027099,0.0000000000,0.0000000000,0.0407589674,0.0000000000,0.0563284680,0.2011726201,0.0000000000,0.0084662940,0.0000000000,0.0407497622,0.0000000000,0.0130475312,0.0067391391,0.0000000000,0.0141062923,0.0145191988,0.0122007569,0.0607946590,0.0081068296,0.0000000000,0.0243815277,0.0346728377,0.0000000000,0.0000000000,0.0327318907,0.0321781561,0.0367614664,0.0355855748,0.0351549312,0.0122560151,0.2543928027,0.1753385216,0.0805423409,0.0874291286,0.0288915001,0.0267261285,0.0215125512,0.0223455094,0.4919022024,0.4917619526,0.0145797478,0.0000000000,0.0000000000,0.0205751192,0.0301177185,0.0314203836,0.1111947596,0.1208583266,0.0000000229,0.0000000000,0.0000000000,0.0000000000,0.0051327622,0.1228909865,0.0006339620,0.0805144534,0.1229875684,0.0099414308
15:11:18:22.644,61,0.0565815382,0.2013075799,0.1333291531,0.0000000000,0.0000000000,0.0407323614,0.0000000000,0.0564278588,0.2018091530,0.0000000000,0.0089512728,0.0000000000,0.0407232046,0.0000000000,0.0130243748,0.0066922605,0.0000000000,0.0141255660,0.0145416101,0.0121908020,0.0608403124,0.0082930801,0.0000000000,0.0250092484,0.0351399668,0.0000000000,0.0000000000,0.0328901261,0.0323254019,0.0367388837,0.0355564021,0.0352032930,0.0122758215,0.2547471523,0.1753662229,0.0805929750,0.0874838904,0.0290354826,0.0268558152,0.0215470493,0.0223722421,0.4917743206,0.4916329384,0.0146000478,0.0000000000,0.0000000000,0.0205581319,0.0301017314,0.0313919596,0.1112094894,0.1208319664,0.0000000223,0.0000000000,0.0000000000,0.0000000000,0.0054265242,0.1232800260,0.0006723884,0.0808297694,0.1233766824,0.0100121731
15:11:18:23.648,61,0.0566535667,0.2020477802,0.1336537451,0.0000000000,0.0000000000,0.0407192558,0.0000000000,0.0564984381,0.2025547028,0.0000000000,0.0092401849,0.0000000000,0.0407100655,0.0000000000,0.0130023332,0.0067135380,0.0000000000,0.0141197070,0.0145433201,0.0121777793,0.0608238578,0.0083038714,0.0000000000,0.0250488147,0.0353026427,0.0000000000,0.0000000000,0.0329526216,0.0323909633,0.0366844572,0.0354994424,0.0352453142,0.0122877080,0.2554143965,0.1756504029,0.0806775242,0.0875838548,0.0291127227,0.0269316696,0.0215882715,0.0224199705,0.4917700589,0.4916279018,0.0145998476,0.0000000000,0.0000000000,0.0205368232,0.0300655551,0.0313533358,0.1114113629,0.1210410297,0.0000000260,0.0000000000,0.0000000000,0.0000000000,0.0056013544,0.1237355918,0.0006966421,0.0810219869,0.1238322854,0.0100733684
15:11:18:24.650,61,0.0566856228,0.2026955038,0.1333971918,0.0000000000,0.0000000000,0.0406805016,0.0000000000,0.0565302186,0.2032020688,0.0000000000,0.0089728832,0.0000000000,0.0406713001,0.0000000000,0.0129928654,0.0067521171,0.0000000000,0.0141332736,0.0145660881,0.0121880677,0.0608510189,0.0082502794,0.0000000000,0.0249752849,0.0354399830,0.0000000000,0.0000000000,0.0329781845,0.0324259438,0.0366792455,0.0354909077,0.0353142209,0.0122971209,0.2560205758,0.1759260297,0.0807262436,0.0876548886,0.0291932188,0.0270123761,0.0216440707,0.0224878751,0.4917079210,0.4915655851,0.0146217421,0.0000000000,0.0000000000,0.0205304902,0.0300563462,0.0313451551,0.1116670743,0.1213156730,0.0000000260,0.0000000000,0.0000000000,0.0000000000,0.0054390491,0.1241309345,0.0006786400,0.0808624849,0.1242276728,0.0100860121
15:11:18:25.652,61,0.0567841679,0.2033386230,0.1336035728,0.0000000000,0.0000000000,0.0406464860,0.0000000000,0.0566268303,0.2038491219,0.0000000000,0.0091653215,0.0000000000,0.0406373069,0.0000000000,0.0129923886,0.0067550442,0.0000000000,0.0141467862,0.0145803615,0.0121896584,0.0608743802,0.0082799923,0.0000000000,0.0251414869,0.0356350243,0.0000000000,0.0000000000,0.0330836549,0.0325320177,0.0366713181,0.0354802646,0.0353901982,0.0123194652,0.2566353679,0.1761772037,0.0808422938,0.0877847821,0.0293010585,0.0271138046,0.0216888767,0.0225369483,0.4921405911,0.4919984639,0.0146327754,0.0000000000,0.0000000000,0.0205306951,0.0300477464,0.0313357338,0.1118875369,0.1215455979,0.0000000258,0.0000000000,0.0000000000,0.0000000000,0.0055554230,0.1245262846,0.0006953908,0.0809836015,0.1246230602,0.0101335673
15:11:18:26.653,61,0.0569664724,0.2041126490,0.1337465197,0.0000000000,0.0000000000,0.0405635834,0.0000000000,0.0568062440,0.2046269029,0.0000000000,0.0092869997,0.0000000000,0.0405544452,0.0000000000,0.0129925422,0.0066986410,0.0000000000,0.0141660292,0.0145900548,0.0121652642,0.0607767887,0.0083684865,0.0000000000,0.0255568903,0.0359330885,0.0000000000,0.0000000000,0.0332362019,0.0326764248,0.0366317816,0.0354426689,0.0354522914,0.0123609304,0.2568199635,0.1761097461,0.0808583871,0.0877963603,0.0294152461,0.0272147395,0.0217006300,0.0225481372,0.4922306538,0.4920881987,0.0146389315,0.0000000000,0.0000000000,0.0204968136,0.0300186835,0.0312961526,0.1120558381,0.1217086166,0.0000000232,0.0000000000,0.0000000000,0.0000000000,0.0056288424,0.1250014752,0.0007072975,0.0810654387,0.1250982881,0.0101828696
