Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll
00:42:09:26.430,61,0.1089210808,0.1901796013,0.1249460429,0.0000000000,0.0000000000,0.0592927411,0.0000000000,0.1089200154,0.1906043589,0.0024282234,0.0000000000,0.0000000000,0.0592805184,0.0000000000,0.0106089590,0.0011317707,0.0000000000,0.0152296452,0.0153562808,0.0104621761,0.0746208504,0.0085478174,0.0000000000,0.0000000000,0.0000000000,0.0328888819,0.0129864905,0.0237129834,0.0232328791,0.0291450694,0.0282102786,0.0350183360,0.0102248499,0.2373149842,0.1753948778,0.0603298582,0.0639923438,0.0211451706,0.0205125026,0.0191822425,0.0203125812,0.3824751079,0.3823845088,0.0163949374,0.0000000000,0.0000000000,0.0179899279,0.0287887100,0.0300201606,0.0682190955,0.0733179450,0.0000000157,0.0000000000,0.0000000000,0.0000000000,-0.0014732741,0.1164337099,-0.0001723181,0.0758097321,0.1165102571,0.0088640684
00:42:09:27.431,61,0.1083346456,0.1898582280,0.1249168068,0.0000000000,0.0000000000,0.0595610254,0.0000000000,0.1083336249,0.1902818382,0.0024767229,0.0000000000,0.0000000000,0.0595486239,0.0000000000,0.0106609035,0.0012305030,0.0000000000,0.0151929092,0.0153054502,0.0103669632,0.0740261301,0.0086649377,0.0000000000,0.0000000000,0.0000000000,0.0310810581,0.0109736696,0.0236446913,0.0231607743,0.0290289838,0.0280700903,0.0349193998,0.0102561638,0.2366560400,0.1746327132,0.0602463894,0.0639406741,0.0211648922,0.0205149949,0.0190862063,0.0202011336,0.3839476705,0.3838537633,0.0161749423,0.0000000000,0.0000000000,0.0179144368,0.0288719069,0.0301018525,0.0684244782,0.0735217482,0.0000000156,0.0000000000,0.0000000000,0.0000000000,-0.0015027347,0.1162367016,-0.0001754638,0.0757937133,0.1163132265,0.0088470783
00:42:09:28.433,61,0.1077085659,0.1894072443,0.1249792799,0.0000000000,0.0000000000,0.0597467497,0.0000000000,0.1077075079,0.1898301095,0.0024384849,0.0000000000,0.0000000000,0.0597342625,0.0000000000,0.0106879240,0.0013230647,0.0000000000,0.0151533140,0.0152547434,0.0102740107,0.0734659955,0.0087437052,0.0000000000,0.0000000000,0.0000000000,0.0304524414,0.0103687681,0.0235431660,0.0230590347,0.0289065279,0.0279337205,0.0347954109,0.0102716414,0.2357988507,0.1738857776,0.0600516014,0.0637614504,0.0211463980,0.0204823110,0.0189806242,0.0200816132,0.3829493821,0.3828508854,0.0159764774,0.0000000000,0.0000000000,0.0178410709,0.0289191511,0.0301522482,0.0684614107,0.0735541806,0.0000000134,0.0000000000,0.0000000000,0.0000000000,-0.0014795817,0.1159607470,-0.0001723465,0.0758340731,0.1160372943,0.0088305883
00:42:09:29.435,61,0.1071136370,0.1888438910,0.1247925460,0.0000000000,0.0000000000,0.0599630736,0.0000000000,0.1071125492,0.1892635077,0.0026221760,0.0000000000,0.0000000000,0.0599505492,0.0000000000,0.0107019041,0.0014124856,0.0000000000,0.0151103577,0.0152025577,0.0101905605,0.0730174631,0.0087935980,0.0000000000,0.0000000000,0.0000000000,0.0299962759,0.0100815287,0.0234461892,0.0229606554,0.0287947487,0.0278137568,0.0346772857,0.0102773821,0.2354111820,0.1734517068,0.0599197932,0.0636449829,0.0211025588,0.0204284582,0.0188996717,0.0199888181,0.3826628327,0.3825632930,0.0157880727,0.0000000000,0.0000000000,0.0177804269,0.0289829168,0.0302213673,0.0685359612,0.0736276433,0.0000000127,0.0000000000,0.0000000000,0.0000000000,-0.0015911029,0.1156146750,-0.0001847788,0.0757237896,0.1156911775,0.0087912371
00:42:09:30.436,61,0.1065807343,0.1884424388,0.1242297515,0.0000000000,0.0000000000,0.0600590594,0.0000000000,0.1065796688,0.1888559610,0.0031913507,0.0000000000,0.0000000000,0.0600465387,0.0000000000,0.0107058892,0.0015036804,0.0000000000,0.0150604378,0.0151558425,0.0101139592,0.0725172460,0.0088209761,0.0000000000,0.0000000000,0.0000000000,0.0297480673,0.0099779721,0.0233629588,0.0228779409,0.0287147034,0.0277220886,0.0345554166,0.0102771660,0.2348669320,0.1728884727,0.0597472675,0.0634879693,0.0210780352,0.0203966647,0.0188250672,0.0199052002,0.3802037835,0.3801092207,0.0156349055,0.0000000000,0.0000000000,0.0177257564,0.0290311407,0.0302866362,0.0686115772,0.0737028867,0.0000000142,0.0000000000,0.0000000000,0.0000000000,-0.0019365264,0.1153657809,-0.0002244052,0.0753844306,0.1154422611,0.0087329186
00:42:09:31.438,61,0.1060050651,0.1882598102,0.1236449033,0.0000000000,0.0000000000,0.0600408502,0.0000000000,0.1060039178,0.1886675954,0.0037661584,0.0000000000,0.0000000000,0.0600284375,0.0000000000,0.0107141724,0.0016010790,0.0000000000,0.0150166648,0.0151100159,0.0100347213,0.0719712973,0.0089110089,0.0000000000,0.0000000000,0.0000000000,0.0297744069,0.0101781003,0.0232782941,0.0227944106,0.0286208205,0.0276129209,0.0344543122,0.0102824923,0.2342604399,0.1722735763,0.0595538244,0.0633132011,0.0210612938,0.0203700252,0.0187503733,0.0198224261,0.3786545694,0.3785622716,0.0154753877,0.0000000000,0.0000000000,0.0176695064,0.0290267207,0.0302991234,0.0686144009,0.0737009570,0.0000000145,0.0000000000,0.0000000000,0.0000000000,-0.0022853534,0.1152507812,-0.0002645609,0.0750305280,0.1153272986,0.0086832652
00:42:09:32.440,61,0.1053860262,0.1883553565,0.1228163019,0.0000000000,0.0000000000,0.0596883893,0.0000000000,0.1053844020,0.1887560785,0.0045766453,0.0000000000,0.0000000000,0.0596763194,0.0000000000,0.0107499724,0.0016753168,0.0000000000,0.0149901910,0.0150755076,0.0100015523,0.0716600642,0.0090022581,0.0000000000,0.0000000000,0.0000000000,0.0302022193,0.0113274092,0.0232504010,0.0227668118,0.0285620280,0.0275449194,0.0344601572,0.0103004510,0.2343108356,0.1721464396,0.0596025176,0.0633839890,0.0210439749,0.0203449875,0.0187222138,0.0197893102,0.3717058003,0.3716032207,0.0153300725,0.0000000000,0.0000000000,0.0177161638,0.0289738290,0.0302585047,0.0686679929,0.0737401992,0.0000000173,0.0000000000,0.0000000000,0.0000000000,-0.0027771494,0.1153049767,-0.0003216455,0.0745272338,0.1153814495,0.0086292168
00:42:09:33.441,61,0.1027809009,0.1880423576,0.1225701347,0.0000000000,0.0000000000,0.0591496937,0.0000000000,0.1027727574,0.1884400547,0.0048168851,0.0000000000,0.0000000000,0.0591380000,0.0000000000,0.0107907783,0.0017104037,0.0000000000,0.0149695659,0.0150428321,0.0100089079,0.0716459677,0.0089878077,0.0000000000,0.0000000000,0.0000000000,0.0328754932,0.0157193411,0.0232649427,0.0227876436,0.0285522733,0.0275474153,0.0345100015,0.0103167295,0.2352171838,0.1724543720,0.0598099530,0.0636074170,0.0209736805,0.0202789493,0.0187089164,0.0197741818,0.3461797535,0.3460265696,0.0152307888,0.0000000000,0.0000000000,0.0178673044,0.0288896337,0.0301786475,0.0686085969,0.0736634955,0.0000000222,0.0000000000,0.0000000000,0.0000000000,-0.0029229943,0.1151119843,-0.0003379653,0.0743794888,0.1151884422,0.0085976096
00:42:09:34.443,61,0.1015645936,0.1876669973,0.1222047359,0.0000000000,0.0000000000,0.0586108789,0.0000000000,0.1015545279,0.1880604327,0.0051908493,0.0000000000,0.0000000000,0.0585995652,0.0000000000,0.0108391661,0.0017052559,0.0000000000,0.0149611691,0.0150243845,0.0100410739,0.0717940331,0.0089410087,0.0000000000,0.0000000000,0.0000000000,0.0346185155,0.0186694656,0.0232703593,0.0228008106,0.0285545122,0.0275696311,0.0345820673,0.0103306063,0.2364802212,0.1729274541,0.0600962788,0.0639034957,0.0209092330,0.0202230532,0.0187229104,0.0197866205,0.3390090764,0.3388439715,0.0151378233,0.0000000000,0.0000000000,0.0180451795,0.0288269687,0.0301136505,0.0686319098,0.0736625046,0.0000000261,0.0000000000,0.0000000000,0.0000000000,-0.0031500089,0.1148801744,-0.0003634733,0.0741597340,0.1149566248,0.0085548498
00:42:09:35.444,61,0.1009183004,0.1878834069,0.1217079386,0.0000000000,0.0000000000,0.0581781939,0.0000000000,0.1009072959,0.1882730126,0.0056871884,0.0000000000,0.0000000000,0.0581671894,0.0000000000,0.0108967349,0.0017085744,0.0000000000,0.0149626592,0.0150135485,0.0100708595,0.0719031617,0.0088370787,0.0000000000,0.0000000000,0.0000000000,0.0364748612,0.0204370487,0.0232504588,0.0227893963,0.0285309069,0.0275612604,0.0346775763,0.0103514818,0.2373737842,0.1734170169,0.0603899658,0.0642163604,0.0208694004,0.0201906804,0.0187446605,0.0198130254,0.3436510563,0.3435220122,0.0150249666,0.0000000000,0.0000000000,0.0181960836,0.0287804082,0.0300659072,0.0687569603,0.0737816095,0.0000000288,0.0000000000,0.0000000000,0.0000000000,-0.0034511546,0.1150101423,-0.0003986763,0.0738571286,0.1150865778,0.0085297255
