Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll
00:42:13:51.854,61,0.1195910946,0.1808876246,0.1079112738,0.0000000000,0.0000000000,0.0686855093,0.0000000000,0.1195822731,0.1811419129,0.0190090090,0.0000000000,0.0000000000,0.0686754733,0.0000000000,0.0108085060,0.0019481614,0.0000000000,0.0159311108,0.0161592811,0.0112940054,0.0745780170,0.0065873154,0.0000000000,0.0000000000,0.0000820304,0.0211621188,0.0000000000,0.0249935705,0.0244842954,0.0296837185,0.0284525119,0.0363385603,0.0108473999,0.2391452789,0.1724580228,0.0627134144,0.0666680560,0.0231163967,0.0227056537,0.0197101347,0.0209466908,0.3791832626,0.3791259229,0.0164513383,0.0000000000,0.0000000000,0.0184626933,0.0308368020,0.0325234160,0.0713748187,0.0758168250,0.0000000342,0.0000000000,0.0000000000,0.0000000000,-0.0115409242,0.1106607169,-0.0012823365,0.0655166507,0.1107365265,0.0072795479
00:42:13:52.855,61,0.1190162748,0.1796710342,0.1085351110,0.0000000000,0.0000000000,0.0683840364,0.0000000000,0.1190074012,0.1799281538,0.0184175428,0.0000000000,0.0000000000,0.0683740079,0.0000000000,0.0108123124,0.0018155951,0.0000000000,0.0159156173,0.0161498282,0.0112864692,0.0744937658,0.0067214868,0.0000000000,0.0000000000,0.0007479172,0.0162142254,0.0000000000,0.0250465441,0.0245328713,0.0296756644,0.0284601841,0.0363525264,0.0108681964,0.2394007444,0.1725453734,0.0629191175,0.0668907538,0.0232088193,0.0227884520,0.0197548736,0.0209787879,0.3788259923,0.3787668645,0.0163617395,0.0000000000,0.0000000000,0.0185126755,0.0308807679,0.0325537734,0.0715596303,0.0759973750,0.0000000218,0.0000000000,0.0000000000,0.0000000000,-0.0111827441,0.1099187881,-0.0012341420,0.0659008175,0.1099945307,0.0072727096
00:42:13:53.857,61,0.1173931733,0.1787773520,0.1091659516,0.0000000000,0.0000000000,0.0679018423,0.0000000000,0.1173831448,0.1790378988,0.0178113356,0.0000000000,0.0000000000,0.0678919405,0.0000000000,0.0108238766,0.0016642305,0.0000000000,0.0159146320,0.0161570478,0.0113169625,0.0747534111,0.0067813732,0.0000000000,0.0000000000,0.0012315935,0.0145096444,0.0000000000,0.0250952486,0.0245817769,0.0296777356,0.0284916498,0.0364372432,0.0108859027,0.2419506162,0.1732046604,0.0633120984,0.0672981367,0.0232753679,0.0228503942,0.0198609326,0.0210791416,0.3779758811,0.3779088557,0.0162956156,0.0000000000,0.0000000000,0.0186350811,0.0309151169,0.0325647108,0.0718087330,0.0762465969,0.0000000356,0.0000000000,0.0000000000,0.0000000000,-0.0108153149,0.1093744710,-0.0011876355,0.0662878230,0.1094502211,0.0072788657
00:42:13:54.858,61,0.1164648011,0.1787385941,0.1093752831,0.0000000000,0.0000000000,0.0672927722,0.0000000000,0.1164539158,0.1790008396,0.0176143516,0.0000000000,0.0000000000,0.0672831386,0.0000000000,0.0108393217,0.0015092687,0.0000000000,0.0159316007,0.0161864366,0.0113847787,0.0752318799,0.0068071280,0.0000000000,0.0000000000,0.0014865566,0.0136280172,0.0000000000,0.0251537226,0.0246436242,0.0297160186,0.0285691693,0.0365824215,0.0108988322,0.2457639277,0.1750264019,0.0637937039,0.0677894652,0.0233461745,0.0229244977,0.0200095698,0.0212232713,0.3751934171,0.3751150668,0.0162766054,0.0000000000,0.0000000000,0.0187917985,0.0309456494,0.0325726196,0.0720594302,0.0764841288,0.0000000934,0.0000000000,0.0000000000,0.0000000000,-0.0106957341,0.1093516722,-0.0011742577,0.0664151162,0.1094274223,0.0072912895
00:42:13:55.860,61,0.1157836169,0.1785555035,0.1093949750,0.0000000000,0.0000000000,0.0667614117,0.0000000000,0.1157720089,0.1788174957,0.0176093411,0.0000000000,0.0000000000,0.0667520836,0.0000000000,0.0108685335,0.0013987239,0.0000000000,0.0159527678,0.0162111372,0.0114461901,0.0756648108,0.0067946673,0.0000000000,0.0000000000,0.0017402624,0.0131746363,0.0000000000,0.0252197161,0.0247137267,0.0297676269,0.0286528226,0.0367545001,0.0109100398,0.2496858239,0.1773391515,0.0643120185,0.0683307648,0.0234163813,0.0229977388,0.0201655328,0.0213801023,0.3745967448,0.3745156229,0.0162532292,0.0000000000,0.0000000000,0.0189319775,0.0309872571,0.0326019600,0.0723997280,0.0768065676,0.0000001065,0.0000000000,0.0000000000,0.0000000000,-0.0106928218,0.1092396677,-0.0011727260,0.0664278865,0.1093154252,0.0072851661
00:42:13:56.861,61,0.1153629124,0.1785024852,0.1095406488,0.0000000000,0.0000000000,0.0662750900,0.0000000000,0.1153508872,0.1787655205,0.0174934398,0.0000000000,0.0000000000,0.0662660748,0.0000000000,0.0108935526,0.0013018581,0.0000000000,0.0159878246,0.0162576213,0.0115130134,0.0759761110,0.0067679882,0.0000000000,0.0000000000,0.0018312302,0.0130843027,0.0000000000,0.0252410900,0.0247401800,0.0298194997,0.0287343059,0.0368968286,0.0109242611,0.2509272695,0.1780961454,0.0646336004,0.0686663911,0.0235088095,0.0230908506,0.0202899780,0.0215052404,0.3741322160,0.3740503788,0.0162365008,0.0000000000,0.0000000000,0.0190468859,0.0310349092,0.0326437354,0.0727257505,0.0771054476,0.0000001059,0.0000000000,0.0000000000,0.0000000000,-0.0106224790,0.1092078388,-0.0011646695,0.0665165856,0.1092836186,0.0072927405
00:42:13:57.863,61,0.1150723845,0.1784153879,0.1094129235,0.0000000000,0.0000000000,0.0658453330,0.0000000000,0.1150600389,0.1786771715,0.0176350567,0.0000000000,0.0000000000,0.0658366531,0.0000000000,0.0109194396,0.0012650262,0.0000000000,0.0160315335,0.0163072739,0.0115734208,0.0761734396,0.0067816619,0.0000000000,0.0000000000,0.0016540468,0.0133290524,0.0000000000,0.0252439063,0.0247436035,0.0298761185,0.0288096201,0.0370133184,0.0109383315,0.2512477934,0.1783143878,0.0648224056,0.0688629299,0.0235833377,0.0231613275,0.0203692820,0.0215837322,0.3735547364,0.3734733760,0.0162136424,0.0000000000,0.0000000000,0.0191399977,0.0310792308,0.0326907970,0.0729967132,0.0773458928,0.0000000888,0.0000000000,0.0000000000,0.0000000000,-0.0107085351,0.1091539562,-0.0011735205,0.0664394051,0.1092297211,0.0072806701
00:42:13:58.864,61,0.1147046983,0.1785707921,0.1097083911,0.0000000000,0.0000000000,0.0653527752,0.0000000000,0.1146921366,0.1788353324,0.0173529964,0.0000000000,0.0000000000,0.0653443933,0.0000000000,0.0109271230,0.0012246309,0.0000000000,0.0160572510,0.0163404997,0.0116109867,0.0762562305,0.0068249605,0.0000000000,0.0000000000,0.0014807789,0.0135743525,0.0000000000,0.0252274554,0.0247292798,0.0299113169,0.0288630407,0.0370424725,0.0109454021,0.2491966933,0.1779904962,0.0648510531,0.0688908771,0.0236326754,0.0232014228,0.0203982666,0.0216077436,0.3695294261,0.3694509864,0.0161940660,0.0000000000,0.0000000000,0.0192118566,0.0310797170,0.0326913409,0.0731262937,0.0774534717,0.0000000328,0.0000000000,0.0000000000,0.0000000000,-0.0105371503,0.1092503890,-0.0011557679,0.0666181296,0.1093261689,0.0073067243
00:42:13:59.866,61,0.1142586321,0.1790688634,0.1109236777,0.0000000000,0.0000000000,0.0648446903,0.0000000000,0.1142457202,0.1793445796,0.0162020512,0.0000000000,0.0000000000,0.0648365244,0.0000000000,0.0109363450,0.0011510815,0.0000000000,0.0160656590,0.0163685903,0.0116453683,0.0764020160,0.0069476054,0.0000000000,0.0000000000,0.0012551080,0.0138024716,0.0000000000,0.0252242722,0.0247278791,0.0299571510,0.0289248470,0.0370851494,0.0109461956,0.2484676689,0.1777843982,0.0649280623,0.0689640790,0.0236957036,0.0232512318,0.0204639733,0.0216662176,0.3641695380,0.3640852869,0.0161852967,0.0000000000,0.0000000000,0.0193000957,0.0310810078,0.0326810256,0.0732581690,0.0775685385,0.0000000450,0.0000000000,0.0000000000,0.0000000000,-0.0098379329,0.1095606983,-0.0010821666,0.0673538297,0.1096365377,0.0074084294
00:42:14:00.867,61,0.1130978838,0.1794229448,0.1119153947,0.0000000000,0.0000000000,0.0639342666,0.0000000000,0.1130821481,0.1797077060,0.0152571015,0.0000000000,0.0000000000,0.0639263168,0.0000000000,0.0109379822,0.0010212716,0.0000000000,0.0160501730,0.0163772646,0.0116597069,0.0765533969,0.0070445221,0.0000000000,0.0000000000,0.0011872735,0.0138311386,0.0000000000,0.0252252016,0.0247327685,0.0299620610,0.0289562494,0.0371442251,0.0109449634,0.2479501814,0.1776247919,0.0650361702,0.0690691397,0.0237271469,0.0232761707,0.0205478612,0.0217453949,0.3451502025,0.3450277448,0.0162017923,0.0000000000,0.0000000000,0.0194018949,0.0310219582,0.0325938389,0.0733271837,0.0776139051,0.0000001140,0.0000000000,0.0000000000,0.0000000000,-0.0092639299,0.1097819284,-0.0010211028,0.0679543763,0.1098578125,0.0074895895
