Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll
00:42:01:47.699,61,0.1053271890,0.2451916486,0.1483371854,0.0000000000,0.0000000000,0.0394128077,0.0000000000,0.1053020358,0.2460408360,0.0000000000,0.0219626501,0.0000000000,0.0394009762,0.0000000000,0.0104453657,0.0000000000,0.0020847039,0.0138922771,0.0136764506,0.0089195613,0.0712005943,0.0002012120,0.0000000000,0.0000000000,0.0181325823,0.0004224130,0.0000000000,0.0237738229,0.0237535592,0.0269457847,0.0270643365,0.0327950381,0.0100365281,0.2456254065,0.1766818762,0.0632679164,0.0677314252,0.0187454410,0.0182623602,0.0184551142,0.0202354342,0.3484242558,0.3483277559,0.0160675664,0.0000000000,0.0000000000,0.0172839146,0.0235721376,0.0245484356,0.0649589896,0.0724525675,0.0000000404,0.0000000000,0.0000000000,0.0000000000,0.0132649662,0.1503111422,0.0020089636,0.0895967931,0.1503868401,0.0135576949
00:42:01:48.700,61,0.1053397954,0.2445674241,0.1486688554,0.0000000000,0.0000000000,0.0395303108,0.0000000000,0.1053139269,0.2454180717,0.0000000000,0.0222592745,0.0000000000,0.0395184122,0.0000000000,0.0105025619,0.0000000000,0.0019940953,0.0138881039,0.0136810010,0.0089215953,0.0712770820,0.0001415007,0.0000000000,0.0000000000,0.0172381196,0.0012996960,0.0000000000,0.0236658249,0.0236564595,0.0269772913,0.0271002129,0.0328994766,0.0100305500,0.2461274713,0.1770510525,0.0633570403,0.0678274557,0.0187637042,0.0182824004,0.0185363609,0.0203241836,0.3477204740,0.3476212323,0.0159130003,0.0000000000,0.0000000000,0.0173147377,0.0236131195,0.0245759208,0.0651526675,0.0726479888,0.0000000440,0.0000000000,0.0000000000,0.0000000000,0.0134448931,0.1499310136,0.0020309843,0.0898022801,0.1500067413,0.0135538420
00:42:01:49.702,61,0.1054960042,0.2438074648,0.1490210146,0.0000000000,0.0000000000,0.0396541283,0.0000000000,0.1054691821,0.2446592599,0.0000000000,0.0225794930,0.0000000000,0.0396421403,0.0000000000,0.0105809141,0.0000000000,0.0018896644,0.0139021510,0.0137049770,0.0089458469,0.0713917017,0.0001621173,0.0000000000,0.0000000000,0.0153656295,0.0025733509,0.0000000000,0.0235509388,0.0235498529,0.0270206556,0.0271391496,0.0330451131,0.0100343153,0.2465325892,0.1774470359,0.0634936020,0.0679637864,0.0187970977,0.0183131937,0.0186315794,0.0204219334,0.3470619917,0.3469552398,0.0157616884,0.0000000000,0.0000000000,0.0173652861,0.0236635040,0.0246042553,0.0653644279,0.0728565529,0.0000000495,0.0000000000,0.0000000000,0.0000000000,0.0136392629,0.1494678408,0.0020538832,0.0900212750,0.1495435387,0.0135442205
00:42:01:50.703,61,0.1052760631,0.2428923100,0.1490547359,0.0000000000,0.0000000000,0.0397266038,0.0000000000,0.1052484512,0.2437410355,0.0000000000,0.0225694794,0.0000000000,0.0397145972,0.0000000000,0.0106297312,0.0000000000,0.0017411194,0.0138975764,0.0137080280,0.0089576850,0.0715487972,0.0001572122,0.0000000000,0.0000000000,0.0140339956,0.0038844317,0.0000000000,0.0234167054,0.0234207120,0.0270492118,0.0271611344,0.0330792256,0.0100205140,0.2466353178,0.1776601672,0.0635113418,0.0679785609,0.0187763069,0.0182920452,0.0186679084,0.0204582978,0.3463913500,0.3462814689,0.0156209590,0.0000000000,0.0000000000,0.0174083933,0.0236883722,0.0246171020,0.0654564500,0.0729393288,0.0000000529,0.0000000000,0.0000000000,0.0000000000,0.0136343613,0.1489068717,0.0020453241,0.0900492147,0.1489825994,0.0134968348
00:42:01:51.705,61,0.1023008004,0.2416060418,0.1485088766,0.0000000000,0.0000000000,0.0396891013,0.0000000000,0.1022725850,0.2424437702,0.0000000000,0.0219782572,0.0000000000,0.0396771692,0.0000000000,0.0106533151,0.0000000000,0.0016180570,0.0138712870,0.0136735719,0.0089399321,0.0717576742,0.0001108828,0.0000000000,0.0000000000,0.0124070439,0.0052023968,0.0000000000,0.0232838653,0.0232896954,0.0270125438,0.0271245539,0.0330291390,0.0100054415,0.2465247065,0.1777969450,0.0634846091,0.0679469109,0.0186612699,0.0181821827,0.0186266787,0.0204122681,0.3407422900,0.3406268358,0.0154926544,0.0000000000,0.0000000000,0.0174728557,0.0236611050,0.0245810580,0.0653404742,0.0727946833,0.0000000476,0.0000000000,0.0000000000,0.0000000000,0.0132787768,0.1481136382,0.0019812165,0.0897300020,0.1481892914,0.0133764548
00:42:01:52.707,61,0.0999639332,0.2411995530,0.1480153352,0.0000000000,0.0000000000,0.0395461172,0.0000000000,0.0999350324,0.2420302033,0.0000000000,0.0214650836,0.0000000000,0.0395343788,0.0000000000,0.0106617762,0.0000000000,0.0014684359,0.0138374418,0.0136406338,0.0089136669,0.0719318017,0.0000691338,0.0000000000,0.0000000000,0.0116341924,0.0060834549,0.0000000000,0.0231545679,0.0231631435,0.0269884933,0.0270944610,0.0329725221,0.0099822991,0.2462538779,0.1777967513,0.0633958429,0.0678558201,0.0185679570,0.0180910062,0.0185922813,0.0203763638,0.3380942345,0.3379793763,0.0153826633,0.0000000000,0.0000000000,0.0175147522,0.0236141812,0.0245359018,0.0652352571,0.0726635233,0.0000000441,0.0000000000,0.0000000000,0.0000000000,0.0129692154,0.1478603482,0.0019316748,0.0894351304,0.1479360014,0.0133094983
00:42:01:53.709,61,0.0989865214,0.2412476987,0.1479304880,0.0000000000,0.0000000000,0.0393854156,0.0000000000,0.0989574417,0.2420776188,0.0000000000,0.0213389937,0.0000000000,0.0393738635,0.0000000000,0.0106786275,0.0000000000,0.0013606206,0.0138121471,0.0136224572,0.0088945730,0.0720928237,0.0000920134,0.0000000000,0.0000000000,0.0110289669,0.0068105701,0.0000000000,0.0230098963,0.0230189711,0.0269694738,0.0270685386,0.0329749323,0.0099654980,0.2459284365,0.1777407974,0.0633086562,0.0677619427,0.0185118150,0.0180356335,0.0186034050,0.0203851443,0.3358110785,0.3356984258,0.0152809331,0.0000000000,0.0000000000,0.0175503008,0.0235763416,0.0244918931,0.0652351156,0.0726297721,0.0000000434,0.0000000000,0.0000000000,0.0000000000,0.0128929773,0.1478891969,0.0019207000,0.0893834606,0.1479648352,0.0133044636
00:42:01:54.710,61,0.0987041220,0.2411675006,0.1481487453,0.0000000000,0.0000000000,0.0392675996,0.0000000000,0.0986743048,0.2419996113,0.0000000000,0.0215171855,0.0000000000,0.0392561704,0.0000000000,0.0107058473,0.0000000000,0.0012902780,0.0137893166,0.0136108333,0.0088688154,0.0719826147,0.0002845205,0.0000000000,0.0000000000,0.0109095536,0.0069665648,0.0000000000,0.0229120795,0.0229168721,0.0269421842,0.0270266291,0.0330085084,0.0099639194,0.2454303801,0.1775081456,0.0632496178,0.0677035674,0.0185152087,0.0180310030,0.0186295882,0.0204015430,0.3335939348,0.3334758580,0.0151716191,0.0000000000,0.0000000000,0.0175576620,0.0235338081,0.0244375523,0.0652817339,0.0726447254,0.0000000495,0.0000000000,0.0000000000,0.0000000000,0.0130007314,0.1478417516,0.0019361211,0.0895159766,0.1479174495,0.0133198025
00:42:01:55.712,61,0.0987963676,0.2413735241,0.1484829634,0.0000000000,0.0000000000,0.0391502343,0.0000000000,0.0987657234,0.2422101796,0.0000000000,0.0218186360,0.0000000000,0.0391389281,0.0000000000,0.0107344100,0.0000000000,0.0012517511,0.0137659442,0.0136074275,0.0088428855,0.0718099847,0.0005608844,0.0000000000,0.0000000000,0.0108184442,0.0070445426,0.0000000000,0.0228110068,0.0228104796,0.0269195177,0.0269854926,0.0330576450,0.0099606197,0.2448718548,0.1772162914,0.0631649867,0.0676188394,0.0185500551,0.0180572458,0.0186774246,0.0204355679,0.3323142529,0.3321943283,0.0150775099,0.0000000000,0.0000000000,0.0175404418,0.0234944411,0.0243830774,0.0653494596,0.0726762637,0.0000000558,0.0000000000,0.0000000000,0.0000000000,0.0131826168,0.1479707211,0.0019649446,0.0897162259,0.1480464786,0.0133613311
00:42:01:56.713,61,0.0987692103,0.2415084243,0.1488087773,0.0000000000,0.0000000000,0.0390281901,0.0000000000,0.0987382159,0.2423493415,0.0000000000,0.0221261382,0.0000000000,0.0390170142,0.0000000000,0.0107477475,0.0000000000,0.0012435191,0.0137360962,0.0135912541,0.0087953666,0.0715694651,0.0008197243,0.0000000000,0.0000000000,0.0110846395,0.0067758840,0.0000000000,0.0227231476,0.0227148756,0.0268636383,0.0269133020,0.0330856144,0.0099638952,0.2438062429,0.1767865568,0.0630458593,0.0674975738,0.0185661484,0.0180653539,0.0187041033,0.0204495676,0.3310043514,0.3308850527,0.0149943018,0.0000000000,0.0000000000,0.0175095052,0.0234465934,0.0243215542,0.0653813556,0.0726751983,0.0000000641,0.0000000000,0.0000000000,0.0000000000,0.0133682378,0.1480561197,0.0019937775,0.0899119973,0.1481318474,0.0133982403
