Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll
15:11:27:10.478,61,0.0678362548,0.1884392947,0.1232831106,0.0000000000,0.0000000000,0.0654886216,0.0000000000,0.0676675588,0.1888135672,0.0013910397,0.0000000000,0.0000000000,0.0654779747,0.0000000000,0.0158870537,0.0062981197,0.0000000000,0.0143131381,0.0136830918,0.0131648760,0.0759328008,0.0080941459,0.0000000000,0.0454363972,0.0560946614,0.0000000000,0.0000000000,0.0559495166,0.0546688326,0.0417393781,0.0404734015,0.0473366231,0.0138060041,0.3710398674,0.2591638565,0.1200358123,0.1297200322,0.0335158408,0.0318534747,0.0282586422,0.0293435548,0.6065956354,0.6065405607,0.0152397631,0.0000000000,0.0000000000,0.0257825796,0.0361913145,0.0374622941,0.1298593879,0.1388361305,0.0000000897,0.0000000000,0.0000000000,0.0000000000,-0.0008440921,0.1153397039,-0.0000977913,0.0748100430,0.1154353172,0.0086659789
15:11:27:11.480,61,0.0674414113,0.1868617237,0.1224563867,0.0000000000,0.0000000000,0.0655346736,0.0000000000,0.0672738627,0.1872246116,0.0022172169,0.0000000000,0.0000000000,0.0655242279,0.0000000000,0.0158655178,0.0062564774,0.0000000000,0.0143235456,0.0136856474,0.0131455651,0.0759207681,0.0081650577,0.0000000000,0.0455720834,0.0560762547,0.0000000000,0.0000000000,0.0559372567,0.0546362698,0.0417470001,0.0404800922,0.0472551882,0.0137955528,0.3690678775,0.2580877542,0.1197295114,0.1293969601,0.0334810503,0.0318162367,0.0282025021,0.0292818472,0.6058123112,0.6057581306,0.0152039872,0.0000000000,0.0000000000,0.0257195644,0.0361589268,0.0374375917,0.1296326518,0.1385811567,0.0000000675,0.0000000000,0.0000000000,0.0000000000,-0.0013455722,0.1143691018,-0.0001545664,0.0743166357,0.1144646704,0.0085359076
15:11:27:12.482,61,0.0670600235,0.1859258264,0.1220977679,0.0000000000,0.0000000000,0.0655900836,0.0000000000,0.0668923855,0.1862831563,0.0025768364,0.0000000000,0.0000000000,0.0655798391,0.0000000000,0.0158203822,0.0062211840,0.0000000000,0.0143215135,0.0136784976,0.0131130731,0.0758988485,0.0082720453,0.0000000000,0.0458983891,0.0562125221,0.0000000000,0.0000000000,0.0560078248,0.0546736680,0.0417449623,0.0404724628,0.0471257493,0.0137845259,0.3672968745,0.2568987906,0.1193931177,0.1290387809,0.0334656909,0.0317891389,0.0281137861,0.0291846357,0.6052523255,0.6051989794,0.0151589699,0.0000000000,0.0000000000,0.0256710853,0.0361135304,0.0374023430,0.1293427050,0.1382715255,0.0000000501,0.0000000000,0.0000000000,0.0000000000,-0.0015639192,0.1137940586,-0.0001787368,0.0741038546,0.1138895452,0.0084683774
15:11:27:13.486,61,0.0670949891,0.1861144751,0.1218039393,0.0000000000,0.0000000000,0.0655869618,0.0000000000,0.0669278577,0.1864697784,0.0028824864,0.0000000000,0.0000000000,0.0655768365,0.0000000000,0.0158440508,0.0062129567,0.0000000000,0.0143392636,0.0136827156,0.0131408023,0.0759591237,0.0083569558,0.0000000000,0.0461324304,0.0563129187,0.0000000000,0.0000000000,0.0562885143,0.0549285188,0.0418675244,0.0405842327,0.0472044051,0.0137949632,0.3685888648,0.2571739256,0.1196377352,0.1292957366,0.0334866829,0.0318065323,0.0281247366,0.0291897580,0.6046298146,0.6045767069,0.0151675185,0.0000000000,0.0000000000,0.0257194471,0.0361365378,0.0374274962,0.1293565631,0.1382793039,0.0000000507,0.0000000000,0.0000000000,0.0000000000,-0.0017493999,0.1139080748,-0.0002001370,0.0739245564,0.1140035912,0.0084564583
15:11:27:14.488,61,0.0672154874,0.1862030476,0.1218854934,0.0000000000,0.0000000000,0.0655179247,0.0000000000,0.0670497343,0.1865591854,0.0028476270,0.0000000000,0.0000000000,0.0655078366,0.0000000000,0.0158842802,0.0061899829,0.0000000000,0.0143380826,0.0136706103,0.0131367650,0.0759603381,0.0083309710,0.0000000000,0.0458419695,0.0560324639,0.0000000000,0.0000000000,0.0563435480,0.0549865924,0.0418660045,0.0405829772,0.0472927578,0.0138100553,0.3704526126,0.2589800954,0.1199013293,0.1295719147,0.0334175713,0.0317457952,0.0281475633,0.0292183235,0.6032860875,0.6032302976,0.0151584381,0.0000000000,0.0000000000,0.0257049147,0.0360991433,0.0373843983,0.1295244098,0.1384675503,0.0000000532,0.0000000000,0.0000000000,0.0000000000,-0.0017282329,0.1139627099,-0.0001978111,0.0739736110,0.1140582636,0.0084661506
15:11:27:15.489,61,0.0673280433,0.1865201294,0.1217363775,0.0000000000,0.0000000000,0.0654707924,0.0000000000,0.0671640635,0.1868758202,0.0029834236,0.0000000000,0.0000000000,0.0654607266,0.0000000000,0.0159335453,0.0061539304,0.0000000000,0.0143388864,0.0136634782,0.0131515078,0.0760071278,0.0082297940,0.0000000000,0.0455942117,0.0558088459,0.0000000000,0.0000000000,0.0564388484,0.0550904535,0.0418845862,0.0406182557,0.0474690571,0.0138323177,0.3762399256,0.2632455230,0.1204010025,0.1300938278,0.0333723538,0.0317159519,0.0282385368,0.0293201823,0.6030305624,0.6029744148,0.0151573587,0.0000000000,0.0000000000,0.0257283561,0.0360863581,0.0373718366,0.1299267709,0.1388954669,0.0000000722,0.0000000000,0.0000000000,0.0000000000,-0.0018106080,0.1141561419,-0.0002075945,0.0738814548,0.1142517105,0.0084700910
15:11:27:16.487,61,0.0671975762,0.1865665466,0.1215284020,0.0000000000,0.0000000000,0.0654170364,0.0000000000,0.0670358092,0.1869205683,0.0032124722,0.0000000000,0.0000000000,0.0654070303,0.0000000000,0.0159910321,0.0061086868,0.0000000000,0.0143364584,0.0136518218,0.0131690195,0.0761513710,0.0080561033,0.0000000000,0.0450324006,0.0553215593,0.0000000000,0.0000000000,0.0564143434,0.0550844930,0.0418545194,0.0406134613,0.0476712398,0.0138531551,0.3835302889,0.2695747018,0.1210043430,0.1307251602,0.0332783349,0.0316470265,0.0283524040,0.0294527002,0.6030870676,0.6030312181,0.0151464026,0.0000000000,0.0000000000,0.0257625654,0.0360505283,0.0373395756,0.1303925067,0.1393893212,0.0000000786,0.0000000000,0.0000000000,0.0000000000,-0.0019496091,0.1141835079,-0.0002235856,0.0737550035,0.1142790616,0.0084576625
15:11:27:17.491,61,0.0673224851,0.1873571873,0.1214562282,0.0000000000,0.0000000000,0.0653734133,0.0000000000,0.0671613514,0.1877125502,0.0033205515,0.0000000000,0.0000000000,0.0653634518,0.0000000000,0.0160617642,0.0060739145,0.0000000000,0.0143415388,0.0136449346,0.0131924422,0.0763146803,0.0079886382,0.0000000000,0.0448388048,0.0551228896,0.0000000000,0.0000000000,0.0565400980,0.0552174747,0.0418723077,0.0406496823,0.0479282811,0.0138705103,0.3865502477,0.2720122039,0.1216815859,0.1314292401,0.0332572795,0.0316437930,0.0284969453,0.0296065118,0.6038573384,0.6038014889,0.0151753677,0.0000000000,0.0000000000,0.0258298684,0.0360590369,0.0373400971,0.1307716370,0.1397850364,0.0000000743,0.0000000000,0.0000000000,0.0000000000,-0.0020150889,0.1146673113,-0.0002320828,0.0737071186,0.1147629693,0.0084882844
15:11:27:18.491,61,0.0675479993,0.1878522635,0.1215154082,0.0000000000,0.0000000000,0.0655229315,0.0000000000,0.0673863813,0.1882092953,0.0033515876,0.0000000000,0.0000000000,0.0655129254,0.0000000000,0.0161766354,0.0060254582,0.0000000000,0.0143563701,0.0136525100,0.0132458489,0.0765815526,0.0079413056,0.0000000000,0.0446417294,0.0548538230,0.0000000000,0.0000000000,0.0567655675,0.0554517470,0.0419417918,0.0407348424,0.0482766591,0.0139110060,0.3965408206,0.2776254416,0.1238282099,0.1337689310,0.0333361290,0.0317351334,0.0287337750,0.0298537891,0.6134878397,0.6134299636,0.0151912374,0.0000000000,0.0000000000,0.0259263199,0.0361009352,0.0373725370,0.1354185194,0.1447961777,0.0000000801,0.0000000000,0.0000000000,0.0000000000,-0.0020338520,0.1149707660,-0.0002348691,0.0737404600,0.1150665060,0.0085147768
15:11:27:19.492,61,0.0676494613,0.1877291054,0.1219494715,0.0000000000,0.0000000000,0.0658543110,0.0000000000,0.0674863756,0.1880893856,0.0030661642,0.0000000000,0.0000000000,0.0658439770,0.0000000000,0.0163309313,0.0059749768,0.0000000000,0.0143676745,0.0136502944,0.0132883284,0.0768635646,0.0078171752,0.0000000000,0.0442765690,0.0545338802,0.0000000000,0.0000000000,0.0570397601,0.0557446592,0.0420066789,0.0408101864,0.0486542732,0.0139806289,0.3998906016,0.2796759903,0.1252277493,0.1353413612,0.0335171409,0.0319199637,0.0289389361,0.0300856587,0.6413943768,0.6413414478,0.0151680196,0.0000000000,0.0000000000,0.0260805190,0.0360933542,0.0373567082,0.1397234946,0.1500217468,0.0000000933,0.0000000000,0.0000000000,0.0000000000,-0.0018606634,0.1148974746,-0.0002147312,0.0740044937,0.1149933264,0.0085397260
