Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll
15:11:06:09.484,61,0.0376257077,0.1474049091,0.1626943201,0.0000000000,0.0000000000,0.0654168949,0.0000000000,0.0373724587,0.1479520500,0.0000000000,0.0400812924,0.0000000000,0.0653943717,0.0000000000,0.0179897789,0.0032529419,0.0000000000,0.0163171217,0.0128814457,0.0085589001,0.0667763352,0.0115275327,0.0000000000,0.0973426029,0.1015244648,0.0000000000,0.0000000000,0.0891692713,0.0867784470,0.0364503302,0.0356699862,0.0462539643,0.0172293689,0.3652704954,0.2490272075,0.1226503551,0.1313892156,0.0291146636,0.0270097945,0.0214399584,0.0227408633,0.5275406241,0.5273343921,0.0115470747,0.0000000000,0.0000000000,0.0234282352,0.0321656056,0.0324606895,0.0889640674,0.0998489037,0.0000000399,0.0000000000,0.0000000000,0.0000000000,0.0243843216,0.0904057324,0.0022102855,0.0989803523,0.0904886350,0.0089662261
15:11:06:10.487,61,0.0376411490,0.1465643942,0.1626789421,0.0000000000,0.0000000000,0.0658382773,0.0000000000,0.0373867266,0.1471076161,0.0000000000,0.0401258022,0.0000000000,0.0658150241,0.0000000000,0.0180782657,0.0032975527,0.0000000000,0.0163386688,0.0128917508,0.0085793668,0.0668321848,0.0116093569,0.0000000000,0.0976629034,0.1016524509,0.0000000000,0.0000000000,0.0896860510,0.0872729048,0.0365775190,0.0357863195,0.0462902486,0.0172376279,0.3664581180,0.2505206168,0.1241741702,0.1328383833,0.0290759131,0.0269683469,0.0214717593,0.0227545016,0.5260345936,0.5258167386,0.0115162190,0.0000000000,0.0000000000,0.0234218501,0.0323209055,0.0325867124,0.0890287682,0.0998769328,0.0000000531,0.0000000000,0.0000000000,0.0000000000,0.0244125389,0.0898897946,0.0022001455,0.0989755765,0.0899726152,0.0089143915
15:11:06:11.488,61,0.0377735831,0.1468616426,0.1614069194,0.0000000000,0.0000000000,0.0658327341,0.0000000000,0.0375190675,0.1473976374,0.0000000000,0.0388509333,0.0000000000,0.0658090338,0.0000000000,0.0182264894,0.0034135755,0.0000000000,0.0163538679,0.0128952879,0.0085980343,0.0668388754,0.0114288656,0.0000000000,0.0975423977,0.1017158404,0.0000000000,0.0000000000,0.0900897756,0.0877403244,0.0366512798,0.0358613357,0.0465449728,0.0172895025,0.3678721786,0.2517152131,0.1277343780,0.1368451416,0.0291014649,0.0270025991,0.0215821397,0.0228810217,0.5443486571,0.5441445112,0.0114760837,0.0000000000,0.0000000000,0.0234905351,0.0323458351,0.0326042287,0.0894698203,0.1003530324,0.0000000675,0.0000000000,0.0000000000,0.0000000000,0.0236365292,0.0900653303,0.0021344046,0.0982000902,0.0901481584,0.0088621248
15:11:06:12.489,61,0.0378130041,0.1478785276,0.1606285274,0.0000000000,0.0000000000,0.0656910837,0.0000000000,0.0375608131,0.1484137923,0.0000000000,0.0380140617,0.0000000000,0.0656670257,0.0000000000,0.0184303746,0.0035213935,0.0000000000,0.0163367037,0.0128759239,0.0086046336,0.0667423159,0.0113072423,0.0000000000,0.0970736146,0.1014589965,0.0000000000,0.0000000000,0.0904815719,0.0881717801,0.0367409140,0.0359302573,0.0469806232,0.0173546672,0.3795644343,0.2609879971,0.1330789626,0.1432898194,0.0291362442,0.0270329621,0.0217925962,0.0231158137,0.5517417192,0.5515455008,0.0114184702,0.0000000000,0.0000000000,0.0235834364,0.0323213264,0.0325745270,0.0917629153,0.1034223512,0.0000000782,0.0000000000,0.0000000000,0.0000000000,0.0231260862,0.0906851441,0.0021027699,0.0977210328,0.0907680839,0.0088800089
15:11:06:13.494,61,0.0380384065,0.1494652182,0.1604528874,0.0000000000,0.0000000000,0.0654579699,0.0000000000,0.0377903469,0.1500063390,0.0000000000,0.0377600938,0.0000000000,0.0654335767,0.0000000000,0.0185770728,0.0035953436,0.0000000000,0.0162941739,0.0128421551,0.0085822381,0.0665457025,0.0111583760,0.0000000000,0.0966884121,0.1014073640,0.0000000000,0.0000000000,0.0907486528,0.0884939879,0.0367646627,0.0359315872,0.0473046191,0.0174073707,0.3822696209,0.2633064389,0.1349948198,0.1455147266,0.0291624479,0.0270560160,0.0219420828,0.0232943688,0.5548061132,0.5546128750,0.0113837672,0.0000000000,0.0000000000,0.0236500353,0.0322610326,0.0325169750,0.0926456302,0.1045313999,0.0000000669,0.0000000000,0.0000000000,0.0000000000,0.0229695383,0.0916579142,0.0021110668,0.0976055562,0.0917410031,0.0089651449
15:11:06:14.495,61,0.0384267271,0.1512963921,0.1603542864,0.0000000000,0.0000000000,0.0651235655,0.0000000000,0.0381825715,0.1518449336,0.0000000000,0.0375925899,0.0000000000,0.0650989041,0.0000000000,0.0186918732,0.0036621755,0.0000000000,0.0162574723,0.0128218364,0.0085756490,0.0664445311,0.0109662348,0.0000000000,0.0963177234,0.1014335230,0.0000000000,0.0000000000,0.0907839686,0.0886115879,0.0367406607,0.0358987898,0.0476196148,0.0174372345,0.3835191429,0.2645725012,0.1362850517,0.1469506770,0.0291870963,0.0270877387,0.0221182853,0.0235034451,0.5560144186,0.5558224916,0.0113659268,0.0000000000,0.0000000000,0.0237190742,0.0321988165,0.0324569046,0.0932368115,0.1052478328,0.0000000599,0.0000000000,0.0000000000,0.0000000000,0.0228652731,0.0927811116,0.0021273852,0.0975354910,0.0928643569,0.0090690525
15:11:06:15.497,61,0.0389932767,0.1522249728,0.1603724658,0.0000000000,0.0000000000,0.0647945255,0.0000000000,0.0387519933,0.1527776867,0.0000000000,0.0376220606,0.0000000000,0.0647698268,0.0000000000,0.0188176055,0.0037471182,0.0000000000,0.0162687078,0.0128369816,0.0085967900,0.0663755834,0.0107101323,0.0000000000,0.0960548669,0.1016301885,0.0000000000,0.0000000000,0.0909055844,0.0888501331,0.0367570408,0.0359187275,0.0479761623,0.0174923632,0.3833383620,0.2649003863,0.1371284723,0.1478328556,0.0292903408,0.0272005033,0.0222951062,0.0237208959,0.5563107729,0.5561197400,0.0113719627,0.0000000000,0.0000000000,0.0237937365,0.0321746394,0.0324417427,0.0936691612,0.1057707891,0.0000000469,0.0000000000,0.0000000000,0.0000000000,0.0228819791,0.0933510885,0.0021420938,0.0975413769,0.0934343636,0.0091255903
15:11:06:16.496,61,0.0397145525,0.1543396562,0.1602719128,0.0000000000,0.0000000000,0.0645573959,0.0000000000,0.0394676030,0.1549009085,0.0000000000,0.0375190265,0.0000000000,0.0645328537,0.0000000000,0.0189273860,0.0038530426,0.0000000000,0.0163006876,0.0128683420,0.0086438758,0.0664628372,0.0105027603,0.0000000000,0.0959712416,0.1018750444,0.0000000000,0.0000000000,0.0911498889,0.0891989246,0.0368172154,0.0359923914,0.0483580343,0.0175303072,0.3834975064,0.2652581334,0.1378953010,0.1485864222,0.0294135585,0.0273336414,0.0225024037,0.0239617433,0.5565690994,0.5563786030,0.0114008896,0.0000000000,0.0000000000,0.0238825753,0.0321937054,0.0324684903,0.0940848291,0.1062220037,0.0000000294,0.0000000000,0.0000000000,0.0000000000,0.0228165239,0.0946482867,0.0021658258,0.0974683389,0.0947317034,0.0092461426
15:11:06:17.501,61,0.0403839275,0.1563493460,0.1602225751,0.0000000000,0.0000000000,0.0644350648,0.0000000000,0.0401341617,0.1569190472,0.0000000000,0.0374692269,0.0000000000,0.0644108728,0.0000000000,0.0190162379,0.0039662295,0.0000000000,0.0163359474,0.0129019450,0.0087174308,0.0667532459,0.0103265624,0.0000000000,0.0959550291,0.1020477191,0.0000000000,0.0000000000,0.0914470032,0.0895863622,0.0369117595,0.0361063816,0.0487293527,0.0175530817,0.3839606345,0.2657811344,0.1388167590,0.1493755877,0.0295199901,0.0274511594,0.0227192864,0.0242050178,0.5581648946,0.5579792261,0.0114428513,0.0000000000,0.0000000000,0.0240344126,0.0322527178,0.0325352512,0.0945530683,0.1067153662,0.0000000238,0.0000000000,0.0000000000,0.0000000000,0.0227835551,0.0958813578,0.0021910444,0.0974269286,0.0959648639,0.0093632676
15:11:06:18.502,61,0.0410415046,0.1575810462,0.1602010578,0.0000000000,0.0000000000,0.0642838851,0.0000000000,0.0407871641,0.1581559628,0.0000000000,0.0374413133,0.0000000000,0.0642600209,0.0000000000,0.0191373527,0.0040622461,0.0000000000,0.0163691286,0.0129207857,0.0087959757,0.0670899451,0.0102407783,0.0000000000,0.0961508155,0.1022486314,0.0000000000,0.0000000000,0.0924145207,0.0907727554,0.0370459408,0.0362573713,0.0492024943,0.0175804477,0.3913834691,0.2711325884,0.1443564445,0.1545647979,0.0296021439,0.0275452938,0.0229716636,0.0244699065,0.5590888858,0.5589035749,0.0114996601,0.0000000000,0.0000000000,0.0242592860,0.0323345736,0.0326118916,0.0950938836,0.1072523519,0.0000000274,0.0000000000,0.0000000000,0.0000000000,0.0227649212,0.0966371149,0.0022066159,0.0974067748,0.0967207029,0.0094355233
